,date,newCasesEngland,newDeathsEngland,newCasesScotland,newDeathsScotland,newCasesWales,newDeathsWales,newCasesNorthernIreland,newDeathsNorthernIreland
242,2020-09-01,1041,2,154,0,51,1,49,0
243,2020-09-02,1239,7,156,1,42,0,71,2
244,2020-09-03,1507,11,101,1,50,0,77,1
245,2020-09-04,1669,9,159,0,51,0,61,1
246,2020-09-05,1477,11,141,0,77,1,118,0
247,2020-09-06,2576,2,208,0,98,0,106,0
248,2020-09-07,2528,2,146,0,133,0,141,1
249,2020-09-08,2094,27,176,3,150,0,40,2
250,2020-09-09,2286,8,159,0,165,0,49,0
251,2020-09-10,2578,13,161,0,102,0,78,1
